"Month","Inflation (%)","IIP"
2014-01-01,"8.6",112.3
2014-02-01,"7.88",106.7
2014-03-01,"8.25",118.5
2014-04-01,"8.48",106.6
2014-05-01,"8.33",111
2014-06-01,"6.77",109.7
2014-07-01,"7.39",110.4
2014-08-01,"7.03",108
2014-09-01,"5.63",110.2
2014-10-01,"4.62",106
2014-11-01,"3.27",109.4
2014-12-01,"4.28",115.3
2015-01-01,"5.19",114.3
2015-02-01,"5.37",109.9
2015-03-01,"5.25",121.3
2015-04-01,"4.87",107.3
2015-05-01,"5.01",113
2015-06-01,"5.4",110.8
2015-07-01,"3.69",111.8
2015-08-01,"3.74",112
2015-09-01,"4.41",112.6
2015-10-01,"5",115.5
2015-11-01,"5.41",110.3
2015-12-01,"5.61",118.9
2016-01-01,"5.69",118.9
2016-02-01,"5.26",117.8
2016-03-01,"4.83",127.6
2016-04-01,"5.47",113.7
2016-05-01,"5.76",121.3
2016-06-01,"5.77",119.7
2016-07-01,"6.07",116.8
2016-08-01,"5.05",116.5
2016-09-01,"4.39",118.2
2016-10-01,"4.2",120.3
2016-11-01,"3.63",115.9
2016-12-01,"3.41",121.7
2017-01-01,"3.17",123.1
2017-02-01,"3.65",119.2
2017-03-01,"3.89",133.2
2017-04-01,"2.99",117.3
2017-05-01,"2.18",124.8
2017-06-01,"1.46",119.3
2017-07-01,"2.36",118
2017-08-01,"3.28",122.1
2017-09-01,"3.28",123.1
2017-10-01,"3.58",122.5
2017-11-01,"4.88",125.8
2017-12-01,"5.21",130.6
2018-01-01,"5.07",132.3
2018-02-01,"4.44",127.4
2018-03-01,"4.28",140.3
2018-04-01,"4.58",122.6
2018-05-01,"4.87",129.6
2018-06-01,"4.92",127.7
2018-07-01,"4.17",125.7
2018-08-01,"3.69",128
2018-09-01,"3.7",128.8
2018-10-01,"3.38",132.8
2018-11-01,"2.33",126.1
2018-12-01,"2.11",133.9
2019-01-01,"1.97",134.4
2019-02-01,"2.57",127.6
2019-03-01,"2.86",144.1
2019-04-01,"2.99",126.5
2019-05-01,"3.05",135.4
2019-06-01,"3.18",129.3
2019-07-01,"3.15",131.8
2019-08-01,"3.28",126.2
2019-09-01,"3.99",122.9
2019-10-01,"4.62",124
2019-11-01,"5.54",128.8
2019-12-01,"7.35",134.5
2020-01-01,"7.59",137.4
2020-02-01,"6.58",134.2
2020-03-01,"5.84",117.2
2020-04-01,"7.22",54
2020-05-01,"6.27",90.2
2020-06-01,"6.23",107.9
2020-07-01,"6.73",117.9
2020-08-01,"6.69",117.2
2020-09-01,"7.27",124.1
2020-10-01,"7.61",129.6
2020-11-01,"6.93",126.7
2020-12-01,"4.59",137.4
2021-01-01,"4.06",136.6
2021-02-01,"5.03",129.9
2021-03-01,"5.52",145.6
2021-04-01,"4.23",126.1
2021-05-01,"6.3",115.1
2021-06-01,"6.26",122.8
2021-07-01,"5.59",131.5
2021-08-01,"5.3",132.4
2021-09-01,"4.35",129.5
2021-10-01,"4.48",135
2021-11-01,"4.91",128
2021-12-01,"5.66",138.8
2022-01-01,"6.01",139.3
2022-02-01,"6.07",131.4
2022-03-01,"6.95",148.8
2022-04-01,"7.79",134.5
2022-05-01,"7.04",137.8
2022-06-01,"7.01",138.3
2022-07-01,"6.71",134.4
2022-08-01,"7",131.5
2022-09-01,"7.41",133.8
2022-10-01,"6.77",129.5
2022-11-01,"5.88",137.7
2022-12-01,"5.72",145.9
2023-01-01,"6.52",147.4
2023-02-01,"6.44",139.3
2023-03-01,"5.66",151.7
2023-04-01,"4.7",140.7
2023-05-01,"4.31",145.6
2023-06-01,"4.87",143.9
2023-07-01,"7.44",142.7
2023-08-01,"6.83",145.8
2023-09-01,"5.02",142.3
2023-10-01,"4.87",144.9
2023-11-01,"5.55",141.1
2023-12-01,"5.69",152.3
2024-01-01,"5.1",153.6
2024-02-01,"5.09",147.1
2024-03-01,"4.85",160
2024-04-01,"4.83",148
2024-05-01,"4.8",154.7
2024-06-01,"5.08",151
2024-07-01,"3.6",149.8
2024-08-01,"3.65",145.8
2024-09-01,"5.49",146.9
2024-10-01,"6.21",150.3
2024-11-01,"5.48",148.1
2024-12-01,"5.22",157.7
2025-01-01,"4.26",161.6
2025-02-01,"3.61",151.3
